City_Name,Longitude,Lattitude,Temperature,Humidity,Cloudiness,Wind Speed
Katsuura,140.3,35.1333,74.25,86,100,9.51
Srostki,85.7022,52.4189,46.85,90,54,3.71
‘Āhuimanu,-157.8378,21.4447,83.05,57,20,8.05
São João da Barra,-41.0511,-21.6403,71.08,74,10,12.12
Leningradskiy,178.4167,69.3833,51.84,48,96,2.04
Kattivākkam,80.3167,13.2167,84.07,75,100,11.48
Donauwörth,10.8,48.7,59.52,87,73,4.21
Alofi,-169.9187,-19.0595,76.89,69,27,20.71
Hilo,-155.09,19.7297,81.93,60,1,11.5
Ahipara,173.1667,-35.1667,62.4,82,100,14.52
Clarksville,-87.3595,36.5298,87.04,55,1,11.5
Apango,-99.3333,17.7333,69.33,71,100,7.58
Letlhakane,25.5833,-21.4167,56.35,35,0,5.08
Alihe,123.7167,50.5667,64.13,92,23,1.12
Adeje,-16.726,28.1227,66.69,75,20,4
Alice Town,-79.3,25.7167,81.91,75,100,18.34
Bluff,168.3333,-46.6,45.81,89,99,9.24
Kapaa,-159.319,22.0752,83.12,72,1,1.99
Lyuban',28.0048,52.7985,63.5,96,100,1.97
Gigmoto,124.39,13.7796,81.03,82,83,3.6
Iralaya,-83.2333,15,80.69,71,10,8.5
Nogliki,143.1667,51.8333,45.82,96,100,6.82
Magadan,150.8,59.5667,58.41,79,20,2.48
Cockburn Town,-71.1419,21.4612,82.36,69,40,11.5
Ambon City,128.1814,-3.6954,75.34,94,20,6.91
Zelenets,50.7489,61.8849,62.85,73,54,3.62
Ambulu,113.6058,-8.345,74.53,93,78,2.91
Ponta do Sol,-17.1,32.6667,68.43,74,14,3.13
Belyy Yar,91.3903,53.6039,48.09,87,0,4.47
Porto-Novo,2.6036,6.4965,76.82,91,99,1.88
Praia,-23.5087,14.9215,79.34,73,40,8.05
Mt. Pleasant,-79.8626,32.7941,83.59,79,75,1.99
São José da Coroa Grande,-35.1478,-8.8978,74.03,74,82,10.31
Rock Sound,-76.2,24.9,80.83,73,7,14.9
Leshukonskoye,45.7622,64.8989,51.96,91,47,5.68
Skerries,-6.1083,53.5828,53.13,87,71,15.75
Wilmington,-77.9447,34.2257,81.43,78,20,9.22
Aswān,32.907,24.0934,88.63,21,0,10.69
Saint-Ambroise,-71.3324,48.5501,65.8,97,100,3.62
Sopotnica,21.155,41.2947,66.45,61,0,4.12
Qui Nhon,109.2333,13.7667,80.49,73,58,3.18
Dunedin,170.5036,-45.8742,50.81,93,99,4.18
Ţepu,27.3667,45.9667,67.86,87,39,7.54
São Filipe,-24.4956,14.8961,76.51,83,47,4.88
Lendinara,11.5997,45.0843,72.46,63,22,4.92
Adrar,-10.0711,20.5022,93.88,14,4,5.79
Ulagan,87.9563,50.6321,43.11,95,93,0.83
Lianzhou,112.3825,24.7811,75.78,98,100,2.91
Saint-Augustin,-58.6502,51.226,59.9,90,99,16.51
San Patricio,-97.5169,28.017,89.49,59,78,16.46
Balikpapan,116.8289,-1.2675,76.19,100,40,2.3
Shaowu,117.4831,27.3409,76.57,95,100,1.61
Damietta,31.8133,31.4165,80.49,76,0,5.5
Bredasdorp,20.0403,-34.5322,49.32,81,100,1.14
Bambanglipuro,110.2833,-7.95,75.45,93,65,2.55
Cascais,-9.4215,38.6979,62.89,72,20,5.01
Pozo Colorado,-58.7972,-23.4923,70.25,70,100,11.65
Banda Aceh,95.3222,5.5577,78.08,82,100,12.3
Doha,51.5333,25.2867,89.55,62,0,3.44
Khargone,75.6,21.8167,78.93,75,88,9.19
Carutapera,-46.02,-1.195,76.08,89,13,5.59
Jizan,42.6667,17.3333,90.54,59,99,1.72
Anadyr,177.4833,64.75,50.5,62,0,8.95
Makkah al Mukarramah,39.8261,21.4267,88.34,30,12,4.56
La Santisima Trinidad,-64.9,-14.8333,84.18,70,40,3.44
Atlantic Beach,-81.3987,30.3344,81.23,71,20,9.22
Miyako,141.9525,39.6367,68.99,83,92,1.57
Villanueva de Córdoba,-4.6287,38.3228,71.33,39,25,7.07
Saint-Prosper,-70.4811,46.2117,62.91,98,100,9.04
Bondeno,11.4108,44.8862,73.26,48,22,6.78
Asău,26.4,46.4333,67.78,88,38,4.34
Sorgun,35.186,39.8101,60.76,86,27,4.81
Okha,142.9478,53.5739,50.77,74,11,10.31
Ullapool,-5.1604,57.8987,50.38,72,99,0.72
Hobyo,48.5268,5.3505,77.18,86,78,27.74
Oxapampa,-75.4017,-10.5775,62.2,93,78,1.77
Cortes,-1.4396,41.9395,72.88,72,96,7.23
Kavieng,150.7967,-2.5744,82.22,74,100,5.28
Markova,24.4138,48.6758,59.52,96,81,5.17
Yambio,28.3955,4.5721,72.79,64,68,2.62
Puerto Escondido,-97.0667,15.85,79.63,61,90,9.22
Santa Marta,-74.199,11.2408,81.21,81,93,8.34
Kieta,155.6333,-6.2167,81.86,75,59,1.61
Verkhnevilyuysk,120.3167,63.4453,67.37,80,71,1.28
Orël-Izumrud,39.9244,43.4583,69.82,94,20,4.47
